# file 'zone_evolution_H_crash.dat'
# Time (yr)               Neutral Fraction         T [K]         
   733333.100000100       0.770294471250047        6519.92333716266     
   743333.150000100       0.778640351298318        6485.39841301714     
   753333.200000100       0.786428787832460        6453.22144560092     
   763333.100000100       0.793712048315813        6423.16392941836     
   773333.150000100       0.800536511488491        6395.02482092294     
   783333.200000100       0.806942889991583        6368.62882153030     
   793333.100000100       0.812967321525758        6343.82128725890     
   803333.150000100       0.818642230442235        6320.46424311617     
   813333.200000100       0.823996309345364        6298.43613093324     
   823333.100000100       0.829055255852152        6277.62852868955     
   833333.150000100       0.833842356778955        6257.94356040525     
   843333.200000100       0.838378356820618        6239.29429318641     
   853333.100000100       0.842681980799741        6221.60247953854     
   863333.150000100       0.846770349411987        6204.79676390646     
   873333.200000100       0.850658798837384        6188.81335881280     
   883333.100000100       0.854361266958586        6173.59440638224     
   893333.150000100       0.857890602100554        6159.08666974901     
   903333.200000100       0.861258365806948        6145.24231280495     
   913333.100000100       0.864475129043595        6132.01765845684     
   923333.150000100       0.867550710070520        6119.37219168566     
   933333.200000100       0.870493976606485        6107.26935791411     
   943333.100000100       0.873313080125902        6095.67558808489     
   953333.150000100       0.876015644973038        6084.55951160469     
   963333.200000100       0.878608577853235        6073.89273255636     
   973333.100000100       0.881098258051463        6063.64904177472     
   983333.150000100       0.883490691817921        6053.80377707412     
   993333.200000100       0.885791332776639        6044.33455867981     
   1003333.10000010       0.888005239771637        6035.22063714405     
   1013333.15000010       0.890137205730729        6026.44236065250     
   1513333.10000010       0.944178707791624        5802.97072246317     
   2013333.20000010       0.962783783251795        5725.21025983963     
   2513333.15000010       0.972135526588757        5685.76155338535     
   3013333.10000010       0.977748589469539        5661.88048115495     
   3513333.20000010       0.981487117420132        5645.84401500626     
   4013333.15000010       0.984154050552566        5634.31282513686     
   4513333.10000010       0.986151578035953        5625.60844790058     
   5013333.20000010       0.987703224250625        5618.79502273414     
   5513333.15000010       0.988943066004922        5613.30945773178     
   6013333.10000010       0.989956375190562        5608.79256299332     
   6513333.20000010       0.990799956992903        5605.00436453238     
   7013333.15000010       0.991513105318751        5601.77839259362     
   7513333.10000010       0.992123864437049        5598.99550468715     
   8013333.20000010       0.992652783071874        5596.56816187406     
   8513333.15000010       0.993115259923572        5594.43058638580     
   9013333.10000010       0.993523061735316        5592.53237648753     
   9513333.20000010       0.993885333583654        5590.83425944566     
   10013333.1500001       0.994209289846274        5589.30516960541     
   10513333.1000001       0.994500698413081        5587.92020239343     
   11013333.2000001       0.994764225509514        5586.65915985782     
   11513333.1500001       0.995003686404085        5585.50548471849     
   12013333.1000001       0.995222231221376        5584.44546989863     
   12513333.2000001       0.995422483602082        5583.46766976859     
   13013333.1500001       0.995606646076349        5582.56245069072     
   13513333.1000001       0.995776581553031        5581.72164209653     
   14013333.2000001       0.995933876187888        5580.93827370632     
   14513333.1500001       0.996079888789883        5580.20635711173     
   15013333.1000001       0.996215790365897        5579.52071847258     
