# Time (Myr)     rI [kpc]       vI [km/s]     
  2.8088e+02   6.8841e+00   1.0429e+01
  2.8200e+02   6.8961e+00   1.0403e+01
  2.8312e+02   6.9081e+00   1.0376e+01
  2.8425e+02   6.9200e+00   1.0351e+01
  2.8538e+02   6.9319e+00   1.0329e+01
  2.8651e+02   6.9438e+00   1.0307e+01
  2.8764e+02   6.9557e+00   1.0288e+01
  2.8877e+02   6.9676e+00   1.0271e+01
  2.8990e+02   6.9794e+00   1.0259e+01
  2.9103e+02   6.9913e+00   1.0246e+01
  2.9217e+02   7.0032e+00   1.0231e+01
  2.9330e+02   7.0150e+00   1.0216e+01
  2.9444e+02   7.0269e+00   1.0203e+01
  2.9557e+02   7.0387e+00   1.0191e+01
  2.9671e+02   7.0505e+00   1.0198e+01
  2.9785e+02   7.0624e+00   1.0214e+01
  2.9899e+02   7.0743e+00   1.0204e+01
  3.0013e+02   7.0862e+00   1.0180e+01
  3.0127e+02   7.0980e+00   1.0156e+01
  3.0241e+02   7.1099e+00   1.0135e+01
  3.0355e+02   7.1217e+00   1.0115e+01
  3.0470e+02   7.1335e+00   1.0095e+01
  3.0584e+02   7.1453e+00   1.0074e+01
  3.0698e+02   7.1570e+00   1.0053e+01
  3.0813e+02   7.1688e+00   1.0032e+01
  3.0927e+02   7.1805e+00   1.0011e+01
  3.1042e+02   7.1922e+00   9.9907e+00
  3.1157e+02   7.2039e+00   9.9709e+00
  3.1272e+02   7.2156e+00   9.9551e+00
  3.1387e+02   7.2273e+00   9.9429e+00
  3.1502e+02   7.2390e+00   9.9287e+00
  3.1617e+02   7.2507e+00   9.9121e+00
  3.1732e+02   7.2623e+00   9.8953e+00
  3.1847e+02   7.2740e+00   9.8795e+00
  3.1962e+02   7.2856e+00   9.8648e+00
  3.2078e+02   7.2972e+00   9.8509e+00
  3.2193e+02   7.3089e+00   9.8593e+00
  3.2309e+02   7.3205e+00   9.8728e+00
  3.2425e+02   7.3322e+00   9.8618e+00
  3.2540e+02   7.3439e+00   9.8417e+00
  3.2656e+02   7.3555e+00   9.8207e+00
  3.2772e+02   7.3671e+00   9.8002e+00
  3.2888e+02   7.3787e+00   9.7800e+00
  3.3004e+02   7.3903e+00   9.7605e+00
  3.3121e+02   7.4019e+00   9.7423e+00
  3.3237e+02   7.4135e+00   9.7288e+00
  3.3354e+02   7.4251e+00   9.7165e+00
  3.3471e+02   7.4367e+00   9.6997e+00
  3.3587e+02   7.4482e+00   9.6819e+00
  3.3704e+02   7.4597e+00   9.6645e+00
  3.3821e+02   7.4713e+00   9.6480e+00
  3.3938e+02   7.4828e+00   9.6322e+00
  3.4055e+02   7.4943e+00   9.6169e+00
  3.4172e+02   7.5059e+00   9.6067e+00
  3.4290e+02   7.5174e+00   9.5985e+00
  3.4407e+02   7.5289e+00   9.5864e+00
  3.4525e+02   7.5404e+00   9.5736e+00
  3.4643e+02   7.5519e+00   9.5611e+00
  3.4760e+02   7.5634e+00   9.5491e+00
