# extracted from file 'T6_front_zeus.dat'
# no velocities were available, so I zero padded the data.
# Time (Myr)     rI [kpc]       vI [km/s]     
    7.295340e-03   3.437220e-02   0.000000e+00
    7.332130e-03   3.437220e-02   0.000000e+00
    7.366510e-03   3.437220e-02   0.000000e+00
    7.398640e-03   3.437220e-02   0.000000e+00
    7.428700e-03   3.437220e-02   0.000000e+00
    7.456990e-03   3.437220e-02   0.000000e+00
    7.483950e-03   3.437220e-02   0.000000e+00
    7.510230e-03   3.437220e-02   0.000000e+00
    7.536630e-03   3.437220e-02   0.000000e+00
    7.564020e-03   3.437220e-02   0.000000e+00
    7.593190e-03   3.437220e-02   0.000000e+00
    7.624770e-03   3.437220e-02   0.000000e+00
    7.659250e-03   3.437220e-02   0.000000e+00
    7.697090e-03   3.437220e-02   0.000000e+00
    7.738670e-03   3.437220e-02   0.000000e+00
    7.784470e-03   3.437220e-02   0.000000e+00
    7.835040e-03   3.437220e-02   0.000000e+00
    7.891310e-03   3.437220e-02   0.000000e+00
    7.955080e-03   3.437220e-02   0.000000e+00
    8.030490e-03   3.437220e-02   0.000000e+00
    8.128870e-03   3.437220e-02   0.000000e+00
    8.292220e-03   3.437220e-02   0.000000e+00
    8.579750e-03   3.437220e-02   0.000000e+00
    8.836420e-03   3.437220e-02   0.000000e+00
    9.069240e-03   3.437220e-02   0.000000e+00
    9.282980e-03   3.437220e-02   0.000000e+00
    9.481040e-03   3.437220e-02   0.000000e+00
    9.666050e-03   4.062170e-02   0.000000e+00
    9.839900e-03   4.062170e-02   0.000000e+00
    1.000390e-02   4.062170e-02   0.000000e+00
    1.015930e-02   4.062170e-02   0.000000e+00
    1.030670e-02   4.062170e-02   0.000000e+00
    1.044710e-02   4.062170e-02   0.000000e+00
    1.058090e-02   4.062170e-02   0.000000e+00
    1.070870e-02   4.062170e-02   0.000000e+00
    1.083080e-02   4.062170e-02   0.000000e+00
    1.094750e-02   4.062170e-02   0.000000e+00
    1.105920e-02   4.062170e-02   0.000000e+00
    1.116600e-02   4.062170e-02   0.000000e+00
    1.126820e-02   4.062170e-02   0.000000e+00
    1.136590e-02   4.062170e-02   0.000000e+00
    1.145930e-02   4.062170e-02   0.000000e+00
    1.154840e-02   4.062170e-02   0.000000e+00
    1.163350e-02   4.062170e-02   0.000000e+00
    1.171450e-02   4.062170e-02   0.000000e+00
    1.179160e-02   4.062170e-02   0.000000e+00
    1.186470e-02   4.062170e-02   0.000000e+00
    1.193390e-02   4.062170e-02   0.000000e+00
    1.199930e-02   4.062170e-02   0.000000e+00
    1.206100e-02   4.062170e-02   0.000000e+00
    1.211900e-02   4.062170e-02   0.000000e+00
    1.217350e-02   4.062170e-02   0.000000e+00
    1.222460e-02   4.062170e-02   0.000000e+00
    1.227270e-02   4.062170e-02   0.000000e+00
    1.231790e-02   4.062170e-02   0.000000e+00
    1.236100e-02   4.062170e-02   0.000000e+00
    1.240270e-02   4.062170e-02   0.000000e+00
    1.244400e-02   4.062170e-02   0.000000e+00
    1.248630e-02   4.062170e-02   0.000000e+00
    1.253060e-02   4.062170e-02   0.000000e+00
    1.257820e-02   4.062170e-02   0.000000e+00
    1.263000e-02   4.062170e-02   0.000000e+00
    1.268660e-02   4.062170e-02   0.000000e+00
    1.274890e-02   4.062170e-02   0.000000e+00
    1.281760e-02   4.062170e-02   0.000000e+00
    1.289410e-02   4.062170e-02   0.000000e+00
    1.298130e-02   4.062170e-02   0.000000e+00
    1.308580e-02   4.062170e-02   0.000000e+00
    1.322760e-02   4.062170e-02   0.000000e+00
    1.349630e-02   4.062170e-02   0.000000e+00
    1.389750e-02   4.062170e-02   0.000000e+00
    1.425940e-02   4.062170e-02   0.000000e+00
    1.459040e-02   4.062170e-02   0.000000e+00
    1.489630e-02   4.062170e-02   0.000000e+00
    1.518150e-02   4.062170e-02   0.000000e+00
    1.544930e-02   4.687120e-02   0.000000e+00
    1.570210e-02   4.687120e-02   0.000000e+00
    1.594170e-02   4.687120e-02   0.000000e+00
    1.616950e-02   4.687120e-02   0.000000e+00
    1.638670e-02   4.687120e-02   0.000000e+00
    1.659420e-02   4.687120e-02   0.000000e+00
    1.679280e-02   4.687120e-02   0.000000e+00
    1.698310e-02   4.687120e-02   0.000000e+00
    1.716570e-02   4.687120e-02   0.000000e+00
    1.734100e-02   4.687120e-02   0.000000e+00
    1.750940e-02   4.687120e-02   0.000000e+00
    1.767110e-02   4.687120e-02   0.000000e+00
    1.782640e-02   4.687120e-02   0.000000e+00
    1.797560e-02   4.687120e-02   0.000000e+00
    1.811880e-02   4.687120e-02   0.000000e+00
    1.825610e-02   4.687120e-02   0.000000e+00
    1.838770e-02   4.687120e-02   0.000000e+00
    1.851380e-02   4.687120e-02   0.000000e+00
    1.863430e-02   4.687120e-02   0.000000e+00
    1.874930e-02   4.687120e-02   0.000000e+00
    1.885890e-02   4.687120e-02   0.000000e+00
    1.896300e-02   4.687120e-02   0.000000e+00
    1.906180e-02   4.687120e-02   0.000000e+00
    1.915540e-02   4.687120e-02   0.000000e+00
    1.924390e-02   4.687120e-02   0.000000e+00
    1.932750e-02   4.687120e-02   0.000000e+00
    1.940640e-02   4.687120e-02   0.000000e+00
    1.948120e-02   4.687120e-02   0.000000e+00
    1.955220e-02   4.687120e-02   0.000000e+00
    1.962030e-02   4.687120e-02   0.000000e+00
    1.968670e-02   4.687120e-02   0.000000e+00
    1.975270e-02   4.687120e-02   0.000000e+00
    1.982020e-02   4.687120e-02   0.000000e+00
    1.989110e-02   4.687120e-02   0.000000e+00
    1.996690e-02   4.687120e-02   0.000000e+00
    2.004920e-02   4.687120e-02   0.000000e+00
    2.013950e-02   4.687120e-02   0.000000e+00
    2.023960e-02   4.687120e-02   0.000000e+00
    2.035300e-02   4.687120e-02   0.000000e+00
    2.048820e-02   4.687120e-02   0.000000e+00
    2.067060e-02   4.687120e-02   0.000000e+00
    2.101960e-02   4.687120e-02   0.000000e+00
    2.159070e-02   4.687120e-02   0.000000e+00
    2.211060e-02   4.687120e-02   0.000000e+00
    2.258980e-02   4.687120e-02   0.000000e+00
    2.303570e-02   4.687120e-02   0.000000e+00
    2.345380e-02   4.687120e-02   0.000000e+00
    2.384840e-02   4.687120e-02   0.000000e+00
    2.422290e-02   5.312070e-02   0.000000e+00
    2.457960e-02   5.312070e-02   0.000000e+00
    2.492030e-02   5.312070e-02   0.000000e+00
    2.524670e-02   5.312070e-02   0.000000e+00
    2.556000e-02   5.312070e-02   0.000000e+00
    2.586120e-02   5.312070e-02   0.000000e+00
    2.615130e-02   5.312070e-02   0.000000e+00
    2.643090e-02   5.312070e-02   0.000000e+00
    2.670070e-02   5.312070e-02   0.000000e+00
    2.696110e-02   5.312070e-02   0.000000e+00
    2.721270e-02   5.312070e-02   0.000000e+00
    2.745560e-02   5.312070e-02   0.000000e+00
    2.769020e-02   5.312070e-02   0.000000e+00
    2.791680e-02   5.312070e-02   0.000000e+00
    2.813540e-02   5.312070e-02   0.000000e+00
    2.834640e-02   5.312070e-02   0.000000e+00
    2.854970e-02   5.312070e-02   0.000000e+00
    2.874560e-02   5.312070e-02   0.000000e+00
    2.893400e-02   5.312070e-02   0.000000e+00
    2.911500e-02   5.312070e-02   0.000000e+00
    2.928860e-02   5.312070e-02   0.000000e+00
    2.945480e-02   5.312070e-02   0.000000e+00
    2.961360e-02   5.312070e-02   0.000000e+00
    2.976530e-02   5.312070e-02   0.000000e+00
    2.990990e-02   5.312070e-02   0.000000e+00
    3.004780e-02   5.312070e-02   0.000000e+00
    3.017920e-02   5.312070e-02   0.000000e+00
    3.030470e-02   5.312070e-02   0.000000e+00
    3.042490e-02   5.312070e-02   0.000000e+00
    3.054080e-02   5.312070e-02   0.000000e+00
    3.065370e-02   5.312070e-02   0.000000e+00
    3.076550e-02   5.312070e-02   0.000000e+00
    3.087840e-02   5.312070e-02   0.000000e+00
    3.099510e-02   5.312070e-02   0.000000e+00
    3.111850e-02   5.312070e-02   0.000000e+00
    3.125190e-02   5.312070e-02   0.000000e+00
    3.140000e-02   5.312070e-02   0.000000e+00
    3.157260e-02   5.312070e-02   0.000000e+00
    3.179730e-02   5.312070e-02   0.000000e+00
    3.219530e-02   5.312070e-02   0.000000e+00
    3.302570e-02   5.312070e-02   0.000000e+00
    3.379180e-02   5.312070e-02   0.000000e+00
    3.450550e-02   5.312070e-02   0.000000e+00
    3.517600e-02   5.312070e-02   0.000000e+00
    3.580990e-02   5.312070e-02   0.000000e+00
    3.641240e-02   5.312070e-02   0.000000e+00
    3.698790e-02   5.312070e-02   0.000000e+00
    3.753980e-02   5.937020e-02   0.000000e+00
    3.807070e-02   5.937020e-02   0.000000e+00
    3.858240e-02   5.937020e-02   0.000000e+00
    3.907660e-02   5.937020e-02   0.000000e+00
    3.955490e-02   5.937020e-02   0.000000e+00
    4.001850e-02   5.937020e-02   0.000000e+00
    4.046840e-02   5.937020e-02   0.000000e+00
    4.090550e-02   5.937020e-02   0.000000e+00
    4.133040e-02   5.937020e-02   0.000000e+00
    4.174390e-02   5.937020e-02   0.000000e+00
    4.214640e-02   5.937020e-02   0.000000e+00
    4.253820e-02   5.937020e-02   0.000000e+00
    4.291980e-02   5.937020e-02   0.000000e+00
    4.329130e-02   5.937020e-02   0.000000e+00
    4.365300e-02   5.937020e-02   0.000000e+00
    4.400510e-02   5.937020e-02   0.000000e+00
    4.434770e-02   5.937020e-02   0.000000e+00
    4.468090e-02   5.937020e-02   0.000000e+00
    4.500480e-02   5.937020e-02   0.000000e+00
    4.531910e-02   5.937020e-02   0.000000e+00
    4.562400e-02   5.937020e-02   0.000000e+00
    4.591940e-02   5.937020e-02   0.000000e+00
    4.620540e-02   5.937020e-02   0.000000e+00
    4.648190e-02   5.937020e-02   0.000000e+00
